year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country,imageUrl,imageName
1980,Peace,The Nobel Peace Prize 1980,NA,1/1,541,Individual,Adolfo Pérez Esquivel,1931-11-26,Buenos Aires,Argentina,Male,NA,NA,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Adolfo_P%C3%A9rez_Esquivel%2C_premio_Nobel_de_la_Paz_en_1980%2C_Visit%C3%B3_al_Presidente_de_la_Asamblea_Nacional%2C_Fernando_Cordero._%285076794488%29.jpg/300px-Adolfo_P%C3%A9rez_Esquivel%2C_premio_Nobel_de_la_Paz_en_1980%2C_Visit%C3%B3_al_Presidente_de_la_Asamblea_Nacional%2C_Fernando_Cordero._%285076794488%29.jpg,"Adolfo_Pérez_Esquivel,_premio_Nobel_de_la_Paz_en_1980,_Visitó_al_Presidente_de_la_Asamblea_Nacional,_Fernando_Cordero._(5076794488).jpg"
1980,Physics,The Nobel Prize in Physics 1980,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",1/2,117,Individual,Val Logsdon Fitch,1923-03-10,"Merriman, NE",United States of America,Male,Princeton University,"Princeton, NJ",United States of America,2015-02-05,"Princeton, NJ",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Val_Fitch.jpg/300px-Val_Fitch.jpg,Val_Fitch.jpg
1981,Chemistry,The Nobel Prize in Chemistry 1981,"""for their theories, developed independently, concerning the course of chemical reactions""",1/2,257,Individual,Kenichi Fukui,1918-10-04,Nara,Japan,Male,Kyoto University,Kyoto,Japan,1998-01-09,Kyoto,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Kenichi_Fukui.jpg/300px-Kenichi_Fukui.jpg,Kenichi_Fukui.jpg
1981,Chemistry,The Nobel Prize in Chemistry 1981,"""for their theories, developed independently, concerning the course of chemical reactions""",1/2,258,Individual,Roald Hoffmann,1937-07-18,Zloczov,Poland (Ukraine),Male,Cornell University,"Ithaca, NY",United States of America,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Roald_Hoffmann.jpg/300px-Roald_Hoffmann.jpg,Roald_Hoffmann.jpg
1981,Economics,The Sveriges Riksbank Prize in Economic Sciences 1981,"""for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices""",1/1,695,Individual,James Tobin,1918-03-05,"Champaign, IL",United States of America,Male,Yale University,"New Haven, CT",United States of America,2002-03-11,"New Haven, CT",United States of America,https://upload.wikimedia.org/wikipedia/commons/1/11/James_Tobin.png,James_Tobin.png
1981,Literature,The Nobel Prize in Literature 1981,"""for writings marked by a broad outlook, a wealth of ideas and artistic power""",1/1,658,Individual,Elias Canetti,1905-07-25,Ruse,Bulgaria,Male,NA,NA,NA,1994-08-14,Zurich,Switzerland,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Elias_Canetti_2.jpg/300px-Elias_Canetti_2.jpg,Elias_Canetti_2.jpg
1981,Medicine,The Nobel Prize in Physiology or Medicine 1981,"""for their discoveries concerning information processing in the visual system""",1/4,423,Individual,David H. Hubel,1926-02-27,"Windsor, ON",Canada,Male,Harvard Medical School,"Boston, MA",United States of America,2013-09-22,"Lincoln, MA",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/DHUBEL.jpg/300px-DHUBEL.jpg,DHUBEL.jpg
1981,Physics,The Nobel Prize in Physics 1981,"""for their contribution to the development of laser spectroscopy""",1/4,118,Individual,Nicolaas Bloembergen,1920-03-11,Dordrecht,Netherlands,Male,Harvard University,"Cambridge, MA",United States of America,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Nicolaas_Bloembergen_1981.jpg/300px-Nicolaas_Bloembergen_1981.jpg,Nicolaas_Bloembergen_1981.jpg
1981,Physics,The Nobel Prize in Physics 1981,"""for their contribution to the development of laser spectroscopy""",1/4,119,Individual,Arthur Leonard Schawlow,1921-05-05,"Mount Verno, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America,1999-04-28,"Palo Alto, CA",United States of America,https://upload.wikimedia.org/wikipedia/commons/6/62/Artur_Schawlow%2C_Stanford_University.jpg,"Artur_Schawlow,_Stanford_University.jpg"
1982,Chemistry,The Nobel Prize in Chemistry 1982,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes""",1/1,259,Individual,Aaron Klug,1926-08-11,Zelvas,Lithuania,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Aaron_Klug_1979.jpg/300px-Aaron_Klug_1979.jpg,Aaron_Klug_1979.jpg
1982,Literature,The Nobel Prize in Literature 1982,"""for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts""",1/1,659,Individual,Gabriel García Márquez,1927-03-06,Aracataca,Colombia,Male,NA,NA,NA,2014-04-17,Mexico City,Mexico,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Gabriel_Garcia_Marquez.jpg/300px-Gabriel_Garcia_Marquez.jpg,Gabriel_Garcia_Marquez.jpg
1982,Medicine,The Nobel Prize in Physiology or Medicine 1982,"""for their discoveries concerning prostaglandins and related biologically active substances""",1/3,426,Individual,Bengt I. Samuelsson,1934-05-21,Halmstad,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/1/19/Bengt_Samuelsson.png,Bengt_Samuelsson.png
1982,Peace,The Nobel Peace Prize 1982,NA,1/2,543,Individual,Alva Myrdal,1902-01-31,Uppsala,Sweden,Female,NA,NA,NA,1986-02-01,Stockholm,Sweden,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/ARB-Alva-Myrdal.jpg/300px-ARB-Alva-Myrdal.jpg,ARB-Alva-Myrdal.jpg
1982,Peace,The Nobel Peace Prize 1982,NA,1/2,544,Individual,Alfonso García Robles,1911-03-20,Zamora,Mexico,Male,NA,NA,NA,1991-09-02,Mexico City,Mexico,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Alfonso_Garcia_Robles_1981.jpg/300px-Alfonso_Garcia_Robles_1981.jpg,Alfonso_Garcia_Robles_1981.jpg
1983,Chemistry,The Nobel Prize in Chemistry 1983,"""for his work on the mechanisms of electron transfer reactions, especially in metal complexes""",1/1,260,Individual,Henry Taube,1915-11-30,Neudorf,Canada,Male,Stanford University,"Stanford, CA",United States of America,2005-11-16,"Stanford, CA",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Henry_Taube_-_HD.3F.005_%2811086397086%29.jpg/300px-Henry_Taube_-_HD.3F.005_%2811086397086%29.jpg,Henry_Taube_-_HD.3F.005_(11086397086).jpg
1983,Literature,The Nobel Prize in Literature 1983,"""for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today""",1/1,660,Individual,William Golding,1911-09-19,St. Columb Minor,United Kingdom,Male,NA,NA,NA,1993-06-19,Perranarworthal,United Kingdom,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/William_Golding_1983.jpg/300px-William_Golding_1983.jpg,William_Golding_1983.jpg
1983,Medicine,The Nobel Prize in Physiology or Medicine 1983,"""for her discovery of mobile genetic elements""",1/1,428,Individual,Barbara McClintock,1902-06-16,"Hartford, CT",United States of America,Female,Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY",United States of America,1992-09-02,"Huntington, NY",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Barbara_McClintock_%281902-1992%29_shown_in_her_laboratory_in_1947.jpg/300px-Barbara_McClintock_%281902-1992%29_shown_in_her_laboratory_in_1947.jpg,Barbara_McClintock_(1902-1992)_shown_in_her_laboratory_in_1947.jpg
1984,Chemistry,The Nobel Prize in Chemistry 1984,"""for his development of methodology for chemical synthesis on a solid matrix""",1/1,261,Individual,Robert Bruce Merrifield,1921-07-15,"Fort Worth, TX",United States of America,Male,Rockefeller University,"New York, NY",United States of America,2006-05-14,"Cresskill, NJ",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/R._B._Merrifield.jpg/300px-R._B._Merrifield.jpg,R._B._Merrifield.jpg
1984,Literature,The Nobel Prize in Literature 1984,"""for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",1/1,661,Individual,Jaroslav Seifert,1901-09-23,Prague,Austria-Hungary (Czech Republic),Male,NA,NA,NA,1986-01-10,Prague,Czechoslovakia,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Jaroslav_Seifert_1981_foto_Hana_Hamplov%C3%A1.jpg/300px-Jaroslav_Seifert_1981_foto_Hana_Hamplov%C3%A1.jpg,Jaroslav_Seifert_1981_foto_Hana_Hamplová.jpg
1984,Medicine,The Nobel Prize in Physiology or Medicine 1984,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",1/3,431,Individual,César Milstein,1927-10-08,Bahia Blanca,Argentina,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,2002-03-24,Cambridge,United Kingdom,https://upload.wikimedia.org/wikipedia/commons/a/ae/Milstein_lnp_restauraci%C3%B3n.jpg,Milstein_lnp_restauración.jpg
1984,Physics,The Nobel Prize in Physics 1984,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",1/2,124,Individual,Carlo Rubbia,1934-03-31,Gorizia,Italy,Male,CERN,Geneva,Switzerland,NA,Geneva,Switzerland,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Carlo_Rubbia_2012.jpg/300px-Carlo_Rubbia_2012.jpg,Carlo_Rubbia_2012.jpg
1984,Physics,The Nobel Prize in Physics 1984,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",1/2,125,Individual,Simon van der Meer,1925-11-24,the Hague,Netherlands,Male,CERN,Geneva,Switzerland,2011-03-04,Geneva,Switzerland,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Simon_Van_der_Meer.png/300px-Simon_Van_der_Meer.png,Simon_Van_der_Meer.png
1985,Chemistry,The Nobel Prize in Chemistry 1985,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",1/2,262,Individual,Herbert A. Hauptman,1917-02-14,"New York, NY",United States of America,Male,The Medical Foundation of Buffalo,"Buffalo, NY",United States of America,2011-10-23,"Buffalo, NY",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Herbert_Hauptman_-_UB_2009.jpg/300px-Herbert_Hauptman_-_UB_2009.jpg,Herbert_Hauptman_-_UB_2009.jpg
1985,Chemistry,The Nobel Prize in Chemistry 1985,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",1/2,263,Individual,Jerome Karle,1918-06-18,"New York, NY",United States of America,Male,US Naval Research Laboratory,"Washington, DC",United States of America,2013-06-06,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Jerome_Karle_Portrait.jpg/300px-Jerome_Karle_Portrait.jpg,Jerome_Karle_Portrait.jpg
1985,Economics,The Sveriges Riksbank Prize in Economic Sciences 1985,"""for his pioneering analyses of saving and of financial markets""",1/1,699,Individual,Franco Modigliani,1918-06-18,Rome,Italy,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,2003-09-25,"Cambridge, MA",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Franco_Modigliani.jpg/300px-Franco_Modigliani.jpg,Franco_Modigliani.jpg
1985,Literature,The Nobel Prize in Literature 1985,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""",1/1,662,Individual,Claude Simon,1913-10-10,Tananarive (Antananarivo),Madagascar,Male,NA,NA,NA,2005-07-06,Paris,France,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Claude_Simon_1967.jpg/300px-Claude_Simon_1967.jpg,Claude_Simon_1967.jpg
1985,Medicine,The Nobel Prize in Physiology or Medicine 1985,"""for their discoveries concerning the regulation of cholesterol metabolism""",1/2,433,Individual,Joseph L. Goldstein,1940-04-18,"Sumter, SC",United States of America,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Joseph_Goldstein.jpg/300px-Joseph_Goldstein.jpg,Joseph_Goldstein.jpg
1985,Physics,The Nobel Prize in Physics 1985,"""for the discovery of the quantized Hall effect""",1/1,126,Individual,Klaus von Klitzing,1943-06-28,Schroda,German-occupied Poland (Poland),Male,Max-Planck-Institut für Festkörperforschung,Stuttgart,Federal Republic of Germany,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Klaus_von_Klitzing_2015.jpg/300px-Klaus_von_Klitzing_2015.jpg,Klaus_von_Klitzing_2015.jpg
1986,Chemistry,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes""",1/3,264,Individual,Dudley R. Herschbach,1932-06-18,"San José, CA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Dudley_R._Herschbach_in_Lindau.jpg/300px-Dudley_R._Herschbach_in_Lindau.jpg,Dudley_R._Herschbach_in_Lindau.jpg
1986,Chemistry,The Nobel Prize in Chemistry 1986,"""for their contributions concerning the dynamics of chemical elementary processes""",1/3,265,Individual,Yuan T. Lee,1936-11-19,Hsinchu,Taiwan,Male,University of California,"Berkeley, CA",United States of America,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Yuan_T._Lee_official_portrait.jpg/300px-Yuan_T._Lee_official_portrait.jpg,Yuan_T._Lee_official_portrait.jpg
1986,Literature,The Nobel Prize in Literature 1986,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence""",1/1,663,Individual,Wole Soyinka,1934-07-13,Abeokuta,Nigeria,Male,NA,NA,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Wole_Soyinka_in_2018.jpg/300px-Wole_Soyinka_in_2018.jpg,Wole_Soyinka_in_2018.jpg
1986,Peace,The Nobel Peace Prize 1986,NA,1/1,548,Individual,Elie Wiesel,1928-09-30,Sighet,Romania,Male,NA,NA,NA,2016-07-02,"New York, NY",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/ELIE_WIESEL_%285112581267%29.jpg/300px-ELIE_WIESEL_%285112581267%29.jpg,ELIE_WIESEL_(5112581267).jpg
1986,Physics,The Nobel Prize in Physics 1986,"""for his fundamental work in electron optics, and for the design of the first electron microscope""",1/2,127,Individual,Ernst Ruska,1906-12-25,Heidelberg,Germany,Male,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Federal Republic of Germany,1988-05-27,West Berlin,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Ernst_Ruska_Electron_Microscope_-_Deutsches_Museum_-_Munich-edit.jpg/300px-Ernst_Ruska_Electron_Microscope_-_Deutsches_Museum_-_Munich-edit.jpg,Ernst_Ruska_Electron_Microscope_-_Deutsches_Museum_-_Munich-edit.jpg
1986,Physics,The Nobel Prize in Physics 1986,"""for their design of the scanning tunneling microscope""",1/4,128,Individual,Gerd Binnig,1947-07-20,Frankfurt-on-the-Main,West Germany (Germany),Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/d/df/Gerd_Binnig_at_the_Memorial_Symposium_for_Heinrich_Rohrer_%28cropped%29_2.jpg,Gerd_Binnig_at_the_Memorial_Symposium_for_Heinrich_Rohrer_(cropped)_2.jpg
1986,Physics,The Nobel Prize in Physics 1986,"""for their design of the scanning tunneling microscope""",1/4,129,Individual,Heinrich Rohrer,1933-06-06,Buchs,Switzerland,Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,2013-05-16,Wollerau,Switzerland,https://upload.wikimedia.org/wikipedia/commons/3/32/Rohrer.jpg,Rohrer.jpg
1987,Chemistry,The Nobel Prize in Chemistry 1987,"""for their development and use of molecules with structure-specific interactions of high selectivity""",1/3,268,Individual,Jean-Marie Lehn,1939-09-30,Rosheim,France,Male,Université Louis Pasteur,Strasbourg,France,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Jean-Marie_Lehn_par_Claude_Truong-Ngoc_octobre_2018.jpg/300px-Jean-Marie_Lehn_par_Claude_Truong-Ngoc_octobre_2018.jpg,Jean-Marie_Lehn_par_Claude_Truong-Ngoc_octobre_2018.jpg
1987,Chemistry,The Nobel Prize in Chemistry 1987,"""for their development and use of molecules with structure-specific interactions of high selectivity""",1/3,269,Individual,Charles J. Pedersen,1904-10-03,Pusan,Korea (South Korea),Male,Du Pont,"Wilmington, DE",United States of America,1989-10-26,"Salem, NJ",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/18-crown-6-potassium.png/300px-18-crown-6-potassium.png,18-crown-6-potassium.png
1987,Literature,The Nobel Prize in Literature 1987,"""for an all-embracing authorship, imbued with clarity of thought and poetic intensity""",1/1,664,Individual,Joseph Brodsky,1940-05-24,Leningrad (Saint Petersburg),Union of Soviet Socialist Republics (Russia),Male,NA,NA,NA,1996-01-28,"New York, NY",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/%D0%98%D0%BE%D1%81%D0%B8%D1%84_%D0%91%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B8%D0%B9.jpg/300px-%D0%98%D0%BE%D1%81%D0%B8%D1%84_%D0%91%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B8%D0%B9.jpg,Иосиф_Бродский.jpg
1987,Medicine,The Nobel Prize in Physiology or Medicine 1987,"""for his discovery of the genetic principle for generation of antibody diversity""",1/1,436,Individual,Susumu Tonegawa,1939-09-06,Nagoya,Japan,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Susumu_Tonegawa_Photo.jpg/300px-Susumu_Tonegawa_Photo.jpg,Susumu_Tonegawa_Photo.jpg
1988,Chemistry,The Nobel Prize in Chemistry 1988,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",1/3,271,Individual,Robert Huber,1937-02-20,Munich,Germany,Male,Max-Planck-Institut für Biochemie,Martinsried,Federal Republic of Germany,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Robert-huber.jpg/300px-Robert-huber.jpg,Robert-huber.jpg
1988,Chemistry,The Nobel Prize in Chemistry 1988,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",1/3,272,Individual,Hartmut Michel,1948-07-18,Ludwigsburg,West Germany (Germany),Male,Max-Planck-Institut für Biophysik,Frankfurt-on-the-Main,Federal Republic of Germany,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/a/a6/Michel%2C_Hartmut_%281948%29.jpg,"Michel,_Hartmut_(1948).jpg"
1988,Economics,The Sveriges Riksbank Prize in Economic Sciences 1988,"""for his pioneering contributions to the theory of markets and efficient utilization of resources""",1/1,702,Individual,Maurice Allais,1911-05-31,Paris,France,Male,École Nationale Supérieur des Mines de Paris,Paris,France,2010-10-09,Paris,France,https://upload.wikimedia.org/wikipedia/commons/1/12/ALLAIS_PN_Maurice-24x30-2001b.jpg,ALLAIS_PN_Maurice-24x30-2001b.jpg
1988,Literature,The Nobel Prize in Literature 1988,"""who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind""",1/1,665,Individual,Naguib Mahfouz,1911-12-11,Cairo,Egypt,Male,NA,NA,NA,2006-08-30,Cairo,Egypt,https://upload.wikimedia.org/wikipedia/commons/6/66/Nagib_Mahfouz.jpg,Nagib_Mahfouz.jpg
1988,Medicine,The Nobel Prize in Physiology or Medicine 1988,"""for their discoveries of important principles for drug treatment""",1/3,438,Individual,Gertrude B. Elion,1918-01-23,"New York, NY",United States of America,Female,Wellcome Research Laboratories,"Research Triangle Park, NC",United States of America,1999-02-21,"Chapel Hill, NC",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Gertrude_Elion.jpg/300px-Gertrude_Elion.jpg,Gertrude_Elion.jpg
1988,Medicine,The Nobel Prize in Physiology or Medicine 1988,"""for their discoveries of important principles for drug treatment""",1/3,439,Individual,George H. Hitchings,1905-04-18,"Hoquiam, WA",United States of America,Male,Wellcome Research Laboratories,"Research Triangle Park, NC",United States of America,1998-02-27,"Chapel Hill, NC",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/George_H._Hitchings_1988.jpg/300px-George_H._Hitchings_1988.jpg,George_H._Hitchings_1988.jpg
1988,Physics,The Nobel Prize in Physics 1988,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",1/3,132,Individual,Leon M. Lederman,1922-07-15,"New York, NY",United States of America,Male,Fermi National Accelerator Laboratory,"Batavia, IL",United States of America,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/HD.3F.001_%2811086394836%29.jpg/300px-HD.3F.001_%2811086394836%29.jpg,HD.3F.001_(11086394836).jpg
1988,Physics,The Nobel Prize in Physics 1988,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",1/3,134,Individual,Jack Steinberger,1921-05-25,Bad Kissingen,Germany,Male,CERN,Geneva,Switzerland,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Jack-Steinberger-2008.JPG/300px-Jack-Steinberger-2008.JPG,Jack-Steinberger-2008.JPG
1989,Chemistry,The Nobel Prize in Chemistry 1989,"""for their discovery of catalytic properties of RNA""",1/2,273,Individual,Sidney Altman,1939-05-07,Montreal,Canada,Male,Yale University,"New Haven, CT",United States of America,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/57/Sidney_Altman_crop.jpg,Sidney_Altman_crop.jpg
1989,Economics,The Sveriges Riksbank Prize in Economic Sciences 1989,"""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures""",1/1,703,Individual,Trygve Haavelmo,1911-12-13,Skedsmo,Norway,Male,University of Oslo,Oslo,Norway,1999-07-26,Oslo,Norway,https://upload.wikimedia.org/wikipedia/commons/2/25/Trygve_Haavelmo.jpg,Trygve_Haavelmo.jpg
1989,Literature,The Nobel Prize in Literature 1989,"""for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability""",1/1,666,Individual,Camilo José Cela,1916-05-11,Iria Flavia,Spain,Male,NA,NA,NA,2002-01-17,Madrid,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Camilo_Jos%C3%A9_Cela._Fototeca._Biblioteca_Virtual_del_Patrimonio_Bibliogr%C3%A1fico.jpg/300px-Camilo_Jos%C3%A9_Cela._Fototeca._Biblioteca_Virtual_del_Patrimonio_Bibliogr%C3%A1fico.jpg,Camilo_José_Cela._Fototeca._Biblioteca_Virtual_del_Patrimonio_Bibliográfico.jpg
1989,Medicine,The Nobel Prize in Physiology or Medicine 1989,"""for their discovery of the cellular origin of retroviral oncogenes""",1/2,440,Individual,J. Michael Bishop,1936-02-22,"York, PA",United States of America,Male,University of California School of Medicine,"San Francisco, CA",United States of America,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Nci-vol-8172-300_j_michael_bishop.jpg/300px-Nci-vol-8172-300_j_michael_bishop.jpg,Nci-vol-8172-300_j_michael_bishop.jpg
1989,Medicine,The Nobel Prize in Physiology or Medicine 1989,"""for their discovery of the cellular origin of retroviral oncogenes""",1/2,441,Individual,Harold E. Varmus,1939-12-18,"Oceanside, NY",United States of America,Male,University of California School of Medicine,"San Francisco, CA",United States of America,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/National_Cancer_Institute_director_Harold_E._Varmus_%283%29_%28cropped%29.jpg/300px-National_Cancer_Institute_director_Harold_E._Varmus_%283%29_%28cropped%29.jpg,National_Cancer_Institute_director_Harold_E._Varmus_(3)_(cropped).jpg
1990,Chemistry,The Nobel Prize in Chemistry 1990,"""for his development of the theory and methodology of organic synthesis""",1/1,275,Individual,Elias James Corey,1928-07-12,"Methuen, MA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/a/a2/E.J.Coreyx240.jpg,E.J.Coreyx240.jpg
1990,Economics,The Sveriges Riksbank Prize in Economic Sciences 1990,"""for their pioneering work in the theory of financial economics""",1/3,706,Individual,William F. Sharpe,1934-06-16,"Boston, MA",United States of America,Male,Stanford University,"Stanford, CA",United States of America,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/William_sharpe_2007.jpg/300px-William_sharpe_2007.jpg,William_sharpe_2007.jpg
1990,Literature,The Nobel Prize in Literature 1990,"""for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity""",1/1,667,Individual,Octavio Paz,1914-03-31,Mexico City,Mexico,Male,NA,NA,NA,1998-04-19,Mexico City,Mexico,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Octavio_Paz_-_1988_Malm%C3%B6.jpg/300px-Octavio_Paz_-_1988_Malm%C3%B6.jpg,Octavio_Paz_-_1988_Malmö.jpg
1990,Medicine,The Nobel Prize in Physiology or Medicine 1990,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",1/2,443,Individual,E. Donnall Thomas,1920-03-15,"Mart, TX",United States of America,Male,Fred Hutchinson Cancer Research Center,"Seattle, WA",United States of America,2012-10-20,"Seattle, WA",United States of America,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Edward_Donnall_%22Don%22_Thomas.jpg/300px-Edward_Donnall_%22Don%22_Thomas.jpg,"Edward_Donnall_""Don""_Thomas.jpg"
1990,Physics,The Nobel Prize in Physics 1990,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",1/3,140,Individual,Richard E. Taylor,1929-11-02,"Medicine Hat, Alberta",Canada,Male,Stanford University,"Stanford, CA",United States of America,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Richard_E._Taylor.jpg/300px-Richard_E._Taylor.jpg,Richard_E._Taylor.jpg
1991,Chemistry,The Nobel Prize in Chemistry 1991,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy""",1/1,276,Individual,Richard R. Ernst,1933-08-14,Winterthur,Switzerland,Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Richard_R._Ernst_1980s_%28cropped%29.jpg/300px-Richard_R._Ernst_1980s_%28cropped%29.jpg,Richard_R._Ernst_1980s_(cropped).jpg
1991,Literature,The Nobel Prize in Literature 1991,"""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""",1/1,668,Individual,Nadine Gordimer,1923-11-20,Springs,South Africa,Female,NA,NA,NA,2014-07-13,Johannesburg,South Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Nadine_Gordimer_01.JPG/300px-Nadine_Gordimer_01.JPG,Nadine_Gordimer_01.JPG
